,Season,Match Number,Round Number,Week,Date,Location,Home Team,Away Team,AB_HOME,Pace_HOME,OffRtg_HOME,DefRtg_HOME,NetRtg_HOME,GOW_HOME,AB_AWAY,Pace_AWAY,OffRtg_AWAY,DefRtg_AWAY,NetRtg_AWAY,GOW_AWAY,Result
0,19-20,1,1,1,22/10/2019 21:00,Scotiabank Arena,Toronto Raptors,New Orleans Pelicans,TOR,100.6,112.5,106.8,+5.8," vs. NOP, @ BOS, @ CHI",NOP,103.9,110.7,112.0,-1.3," @ TOR, vs. DAL, @ HOU",130 - 122
1,19-20,2,1,1,22/10/2019 23:30,Staples Center,LA Clippers,Los Angeles Lakers,LAC,102.7,111.4,110.4,+1.0," vs. LAL, @ GSW, @ PHX",LAL,103.6,107.4,108.9,-1.6," @ LAC, vs. UTA, vs. CHA",112 - 102
2,19-20,3,1,1,23/10/2019 20:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,CHA,99.3,110.7,111.9,-1.2," vs. CHI, vs. MIN, @ LAL",CHI,99.3,104.5,112.8,-8.3," @ CHA, @ MEM, vs. TOR",126 - 125
3,19-20,4,1,1,23/10/2019 20:00,Bankers Life Fieldhouse,Indiana Pacers,Detroit Pistons,IND,98.7,109.3,105.9,+3.4," vs. DET, @ CLE",DET,97.9,108.3,108.6,-0.4," @ IND, vs. ATL, vs. PHI",110 - 119
4,19-20,5,1,1,23/10/2019 20:00,Amway Center,Orlando Magic,Cleveland Cavaliers,ORL,98.7,108.1,107.5,+0.6," vs. CLE, @ ATL",CLE,97.4,106.8,116.7,-10.0," @ ORL, vs. IND",94 - 85
5,19-20,6,1,1,23/10/2019 20:30,Barclays Center,Brooklyn Nets,Minnesota Timberwolves,BKN,101.6,108.8,108.9,-0.1," vs. MIN, vs. NYK, @ MEM",MIN,100.9,110.6,112.2,-1.6," @ BKN, @ CHA, vs. MIA",126 - 127
6,19-20,7,1,1,23/10/2019 20:30,American Airlines Arena,Miami Heat,Memphis Grizzlies,MIA,98.8,106.7,107.0,-0.4," vs. MEM, @ MIL, @ MIN",MEM,97.1,105.6,108.0,-2.4," @ MIA, vs. CHI, vs. BKN",120 - 101
7,19-20,8,1,1,23/10/2019 20:30,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,PHI,102.6,111.5,108.9,+2.6," vs. BOS, @ DET",BOS,100.5,111.2,107.0,+4.2," @ PHI, vs. TOR, @ NYK",107 - 93
8,19-20,9,1,1,23/10/2019 21:30,American Airlines Center,Dallas Mavericks,Washington Wizards,DAL,99.6,108.7,110.1,-1.5," vs. WAS, @ NOP, vs. POR",WAS,102.3,110.1,112.9,-2.7," @ DAL, @ OKC, @ SAS",108 - 100
9,19-20,10,1,1,23/10/2019 21:30,AT&T Center,San Antonio Spurs,New York Knicks,SAS,98.9,112.2,110.5,+1.6," vs. NYK, vs. WAS",NYK,100.2,104.0,112.8,-8.8," @ SAS, @ BKN, vs. BOS",120 - 111
10,19-20,11,1,1,23/10/2019 22:00,Vivint Smart Home Arena,Utah Jazz,Oklahoma City Thunder,UTA,100.8,110.3,105.3,+5.0," vs. OKC, @ LAL, vs. SAC",OKC,103.4,109.8,106.5,+3.4," @ UTA, vs. WAS, vs. GSW",100 - 95
11,19-20,12,1,1,23/10/2019 23:00,Talking Stick Resort Arena,Phoenix Suns,Sacramento Kings,PHX,101.2,105.3,114.2,-8.9," vs. SAC, @ DEN, vs. LAC",SAC,103.9,109.6,110.8,-1.2," @ PHX, vs. POR, @ UTA",124 - 95
12,19-20,13,1,1,23/10/2019 23:00,Moda Center,Portland Trail Blazers,Denver Nuggets,POR,100.0,113.7,109.5,+4.2," vs. DEN, @ SAC, @ DAL",DEN,98.5,112.1,108.1,+4.0," @ POR, vs. PHX",100 - 108
13,19-20,14,1,1,24/10/2019 20:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,DET,97.9,108.3,108.6,-0.4," @ IND, vs. ATL, vs. PHI",ATL,104.6,107.5,113.0,-5.5," @ DET, vs. ORL",100 - 117
14,19-20,15,1,1,24/10/2019 21:00,Toyota Center,Houston Rockets,Milwaukee Bucks,HOU,98.4,114.9,110.1,+4.8," vs. MIL, vs. NOP",MIL,103.6,113.5,104.9,+8.6," @ HOU, vs. MIA",111 - 117
15,19-20,16,1,1,24/10/2019 23:30,Chase Center,Golden State Warriors,LA Clippers,GSW,101.7,115.0,108.6,+6.5," vs. LAC, @ OKC",LAC,102.7,111.4,110.4,+1.0," vs. LAL, @ GSW, @ PHX",122 - 141
16,19-20,17,1,1,25/10/2019 20:00,TD Garden,Boston Celtics,Toronto Raptors,BOS,100.5,111.2,107.0,+4.2," @ PHI, vs. TOR, @ NYK",TOR,100.6,112.5,106.8,+5.8," vs. NOP, @ BOS, @ CHI",112 - 106
17,19-20,18,1,1,25/10/2019 20:00,Spectrum Center,Charlotte Hornets,Minnesota Timberwolves,CHA,99.3,110.7,111.9,-1.2," vs. CHI, vs. MIN, @ LAL",MIN,100.9,110.6,112.2,-1.6," @ BKN, @ CHA, vs. MIA",99 - 121
18,19-20,19,1,1,25/10/2019 20:30,Barclays Center,Brooklyn Nets,New York Knicks,BKN,101.6,108.8,108.9,-0.1," vs. MIN, vs. NYK, @ MEM",NYK,100.2,104.0,112.8,-8.8," @ SAS, @ BKN, vs. BOS",113 - 109
19,19-20,20,1,1,25/10/2019 21:00,FedExForum,Memphis Grizzlies,Chicago Bulls,MEM,97.1,105.6,108.0,-2.4," @ MIA, vs. CHI, vs. BKN",CHI,99.3,104.5,112.8,-8.3," @ CHA, @ MEM, vs. TOR",102 - 110
20,19-20,21,1,1,25/10/2019 21:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,NOP,103.9,110.7,112.0,-1.3," @ TOR, vs. DAL, @ HOU",DAL,99.6,108.7,110.1,-1.5," vs. WAS, @ NOP, vs. POR",116 - 123
21,19-20,22,1,1,25/10/2019 21:00,Chesapeake Energy Arena,Oklahoma City Thunder,Washington Wizards,OKC,103.4,109.8,106.5,+3.4," @ UTA, vs. WAS, vs. GSW",WAS,102.3,110.1,112.9,-2.7," @ DAL, @ OKC, @ SAS",85 - 97
22,19-20,23,1,1,25/10/2019 22:00,Pepsi Center,Denver Nuggets,Phoenix Suns,DEN,98.5,112.1,108.1,+4.0," @ POR, vs. PHX",PHX,101.2,105.3,114.2,-8.9," vs. SAC, @ DEN, vs. LAC",108 - 107
23,19-20,24,1,1,25/10/2019 23:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,SAC,103.9,109.6,110.8,-1.2," @ PHX, vs. POR, @ UTA",POR,100.0,113.7,109.5,+4.2," vs. DEN, @ SAC, @ DAL",81 - 113
24,19-20,25,1,1,25/10/2019 23:30,Staples Center,Los Angeles Lakers,Utah Jazz,LAL,103.6,107.4,108.9,-1.6," @ LAC, vs. UTA, vs. CHA",UTA,100.8,110.3,105.3,+5.0," vs. OKC, @ LAL, vs. SAC",95 - 86
25,19-20,26,1,1,26/10/2019 18:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,MIL,103.6,113.5,104.9,+8.6," @ HOU, vs. MIA",MIA,98.8,106.7,107.0,-0.4," vs. MEM, @ MIL, @ MIN",126 - 131
26,19-20,27,1,1,26/10/2019 20:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,DET,97.9,108.3,108.6,-0.4," @ IND, vs. ATL, vs. PHI",PHI,102.6,111.5,108.9,+2.6," vs. BOS, @ DET",111 - 117
27,19-20,28,1,1,26/10/2019 20:30,State Farm Arena,Atlanta Hawks,Orlando Magic,ATL,104.6,107.5,113.0,-5.5," @ DET, vs. ORL",ORL,98.7,108.1,107.5,+0.6," vs. CLE, @ ATL",103 - 99
28,19-20,29,1,1,26/10/2019 20:30,Madison Square Garden,New York Knicks,Boston Celtics,NYK,100.2,104.0,112.8,-8.8," @ SAS, @ BKN, vs. BOS",BOS,100.5,111.2,107.0,+4.2," @ PHI, vs. TOR, @ NYK",95 - 118
