,Season,Match Number,Round Number,Week,Date,Location,Home Team,Away Team,AB_HOME,Pace_HOME,OffRtg_HOME,DefRtg_HOME,NetRtg_HOME,GOW_HOME,AB_AWAY,Pace_AWAY,OffRtg_AWAY,DefRtg_AWAY,NetRtg_AWAY,GOW_AWAY,Result
29,19-20,30,1,1,26/10/2019 21:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Indiana Pacers,CLE,97.4,106.8,116.7,-10.0," @ ORL, vs. IND",IND,98.7,109.3,105.9,+3.4," vs. DET, @ CLE",110 - 99
30,19-20,31,1,1,26/10/2019 21:00,United Center,Chicago Bulls,Toronto Raptors,CHI,99.3,104.5,112.8,-8.3," @ CHA, @ MEM, vs. TOR",TOR,100.6,112.5,106.8,+5.8," vs. NOP, @ BOS, @ CHI",84 - 108
31,19-20,32,1,1,26/10/2019 21:00,Toyota Center,Houston Rockets,New Orleans Pelicans,HOU,98.4,114.9,110.1,+4.8," vs. MIL, vs. NOP",NOP,103.9,110.7,112.0,-1.3," @ TOR, vs. DAL, @ HOU",126 - 123
32,19-20,33,1,1,26/10/2019 21:30,AT&T Center,San Antonio Spurs,Washington Wizards,SAS,98.9,112.2,110.5,+1.6," vs. NYK, vs. WAS",WAS,102.3,110.1,112.9,-2.7," @ DAL, @ OKC, @ SAS",124 - 122
33,19-20,34,1,1,26/10/2019 22:00,Vivint Smart Home Arena,Utah Jazz,Sacramento Kings,UTA,100.8,110.3,105.3,+5.0," vs. OKC, @ LAL, vs. SAC",SAC,103.9,109.6,110.8,-1.2," @ PHX, vs. POR, @ UTA",113 - 81
34,19-20,35,1,1,26/10/2019 23:00,Talking Stick Resort Arena,Phoenix Suns,LA Clippers,PHX,101.2,105.3,114.2,-8.9," vs. SAC, @ DEN, vs. LAC",LAC,102.7,111.4,110.4,+1.0," vs. LAL, @ GSW, @ PHX",130 - 122
35,19-20,36,1,1,27/10/2019 16:30,Chesapeake Energy Arena,Oklahoma City Thunder,Golden State Warriors,OKC,103.4,109.8,106.5,+3.4," @ UTA, vs. WAS, vs. GSW",GSW,101.7,115.0,108.6,+6.5," vs. LAC, @ OKC",120 - 92
36,19-20,37,1,1,27/10/2019 19:00,FedExForum,Memphis Grizzlies,Brooklyn Nets,MEM,97.1,105.6,108.0,-2.4," @ MIA, vs. CHI, vs. BKN",BKN,101.6,108.8,108.9,-0.1," vs. MIN, vs. NYK, @ MEM",134 - 133
37,19-20,38,1,1,27/10/2019 20:00,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,DAL,99.6,108.7,110.1,-1.5," vs. WAS, @ NOP, vs. POR",POR,100.0,113.7,109.5,+4.2," vs. DEN, @ SAC, @ DAL",119 - 121
38,19-20,39,1,1,27/10/2019 20:00,Target Center,Minnesota Timberwolves,Miami Heat,MIN,100.9,110.6,112.2,-1.6," @ BKN, @ CHA, vs. MIA",MIA,98.8,106.7,107.0,-0.4," vs. MEM, @ MIL, @ MIN",116 - 109
39,19-20,40,1,1,27/10/2019 22:30,Staples Center,Los Angeles Lakers,Charlotte Hornets,LAL,103.6,107.4,108.9,-1.6," @ LAC, vs. UTA, vs. CHA",CHA,99.3,110.7,111.9,-1.2," vs. CHI, vs. MIN, @ LAL",120 - 101
40,19-20,41,1,1,28/10/2019 20:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,DET,97.9,108.3,108.6,-0.4," @ IND, vs. ATL, vs. PHI",IND,98.7,109.3,105.9,+3.4," vs. DET, @ CLE",96 - 94
41,19-20,42,1,1,28/10/2019 20:00,Madison Square Garden,New York Knicks,Chicago Bulls,NYK,100.2,104.0,112.8,-8.8," @ SAS, @ BKN, vs. BOS",CHI,99.3,104.5,112.8,-8.3," @ CHA, @ MEM, vs. TOR",105 - 98
42,19-20,43,1,1,28/10/2019 20:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,ATL,104.6,107.5,113.0,-5.5," @ DET, vs. ORL",PHI,102.6,111.5,108.9,+2.6," vs. BOS, @ DET",103 - 105
43,19-20,44,1,1,28/10/2019 20:30,Scotiabank Arena,Toronto Raptors,Orlando Magic,TOR,100.6,112.5,106.8,+5.8," vs. NOP, @ BOS, @ CHI",ORL,98.7,108.1,107.5,+0.6," vs. CLE, @ ATL",104 - 95
44,19-20,45,1,1,28/10/2019 21:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,HOU,98.4,114.9,110.1,+4.8," vs. MIL, vs. NOP",OKC,103.4,109.8,106.5,+3.4," @ UTA, vs. WAS, vs. GSW",116 - 112
45,19-20,46,1,1,28/10/2019 21:00,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,MIL,103.6,113.5,104.9,+8.6," @ HOU, vs. MIA",CLE,97.4,106.8,116.7,-10.0," @ ORL, vs. IND",129 - 112
46,19-20,47,1,1,28/10/2019 21:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,NOP,103.9,110.7,112.0,-1.3," @ TOR, vs. DAL, @ HOU",GSW,101.7,115.0,108.6,+6.5," vs. LAC, @ OKC",123 - 134
47,19-20,48,1,1,28/10/2019 21:30,AT&T Center,San Antonio Spurs,Portland Trail Blazers,SAS,98.9,112.2,110.5,+1.6," vs. NYK, vs. WAS",POR,100.0,113.7,109.5,+4.2," vs. DEN, @ SAC, @ DAL",113 - 110
48,19-20,49,1,1,28/10/2019 23:00,Talking Stick Resort Arena,Phoenix Suns,Utah Jazz,PHX,101.2,105.3,114.2,-8.9," vs. SAC, @ DEN, vs. LAC",UTA,100.8,110.3,105.3,+5.0," vs. OKC, @ LAL, vs. SAC",95 - 96
49,19-20,50,1,1,28/10/2019 23:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,SAC,103.9,109.6,110.8,-1.2," @ PHX, vs. POR, @ UTA",DEN,98.5,112.1,108.1,+4.0," @ POR, vs. PHX",94 - 101
50,19-20,51,1,1,28/10/2019 23:30,Staples Center,LA Clippers,Charlotte Hornets,LAC,102.7,111.4,110.4,+1.0," vs. LAL, @ GSW, @ PHX",CHA,99.3,110.7,111.9,-1.2," vs. CHI, vs. MIN, @ LAL",111 - 96
51,19-20,52,1,1,29/10/2019 20:30,American Airlines Arena,Miami Heat,Atlanta Hawks,MIA,98.8,106.7,107.0,-0.4," vs. MEM, @ MIL, @ MIN",ATL,104.6,107.5,113.0,-5.5," @ DET, vs. ORL",112 - 97
52,19-20,53,1,1,29/10/2019 22:00,Pepsi Center,Denver Nuggets,Dallas Mavericks,DEN,98.5,112.1,108.1,+4.0," @ POR, vs. PHX",DAL,99.6,108.7,110.1,-1.5," vs. WAS, @ NOP, vs. POR",106 - 109
53,19-20,54,1,1,29/10/2019 23:30,Staples Center,Los Angeles Lakers,Memphis Grizzlies,LAL,103.6,107.4,108.9,-1.6," @ LAC, vs. UTA, vs. CHA",MEM,97.1,105.6,108.0,-2.4," @ MIA, vs. CHI, vs. BKN",120 - 91
54,19-20,55,1,1,30/10/2019 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Chicago Bulls,CLE,97.4,106.8,116.7,-10.0," @ ORL, vs. IND",CHI,99.3,104.5,112.8,-8.3," @ CHA, @ MEM, vs. TOR",117 - 111
55,19-20,56,1,1,30/10/2019 20:00,Amway Center,Orlando Magic,New York Knicks,ORL,98.7,108.1,107.5,+0.6," vs. CLE, @ ATL",NYK,100.2,104.0,112.8,-8.8," @ SAS, @ BKN, vs. BOS",95 - 83
56,19-20,57,1,1,30/10/2019 20:00,Wells Fargo Center,Philadelphia 76ers,Minnesota Timberwolves,PHI,102.6,111.5,108.9,+2.6," vs. BOS, @ DET",MIN,100.9,110.6,112.2,-1.6," @ BKN, @ CHA, vs. MIA",117 - 95
57,19-20,58,1,1,30/10/2019 20:30,TD Garden,Boston Celtics,Milwaukee Bucks,BOS,100.5,111.2,107.0,+4.2," @ PHI, vs. TOR, @ NYK",MIL,103.6,113.5,104.9,+8.6," @ HOU, vs. MIA",116 - 105
58,19-20,59,1,1,30/10/2019 20:30,Barclays Center,Brooklyn Nets,Indiana Pacers,BKN,101.6,108.8,108.9,-0.1," vs. MIN, vs. NYK, @ MEM",IND,98.7,109.3,105.9,+3.4," vs. DET, @ CLE",108 - 118
59,19-20,60,1,1,30/10/2019 20:30,Scotiabank Arena,Toronto Raptors,Detroit Pistons,TOR,100.6,112.5,106.8,+5.8," vs. NOP, @ BOS, @ CHI",DET,97.9,108.3,108.6,-0.4," @ IND, vs. ATL, vs. PHI",125 - 113
60,19-20,61,1,1,30/10/2019 21:00,Capital One Arena,Washington Wizards,Houston Rockets,WAS,102.3,110.1,112.9,-2.7," @ DAL, @ OKC, @ SAS",HOU,98.4,114.9,110.1,+4.8," vs. MIL, vs. NOP",158 - 159
61,19-20,62,1,1,30/10/2019 21:00,Chesapeake Energy Arena,Oklahoma City Thunder,Portland Trail Blazers,OKC,103.4,109.8,106.5,+3.4," @ UTA, vs. WAS, vs. GSW",POR,100.0,113.7,109.5,+4.2," vs. DEN, @ SAC, @ DAL",99 - 102
62,19-20,63,1,1,30/10/2019 23:00,Vivint Smart Home Arena,Utah Jazz,LA Clippers,UTA,100.8,110.3,105.3,+5.0," vs. OKC, @ LAL, vs. SAC",LAC,102.7,111.4,110.4,+1.0," vs. LAL, @ GSW, @ PHX",110 - 96
63,19-20,64,1,1,30/10/2019 23:00,Golden 1 Center,Sacramento Kings,Charlotte Hornets,SAC,103.9,109.6,110.8,-1.2," @ PHX, vs. POR, @ UTA",CHA,99.3,110.7,111.9,-1.2," vs. CHI, vs. MIN, @ LAL",111 - 118
64,19-20,65,1,1,30/10/2019 23:30,Chase Center,Golden State Warriors,Phoenix Suns,GSW,101.7,115.0,108.6,+6.5," vs. LAC, @ OKC",PHX,101.2,105.3,114.2,-8.9," vs. SAC, @ DEN, vs. LAC",110 - 121
65,19-20,66,1,1,31/10/2019 20:00,State Farm Arena,Atlanta Hawks,Miami Heat,ATL,104.6,107.5,113.0,-5.5," @ DET, vs. ORL",MIA,98.8,106.7,107.0,-0.4," vs. MEM, @ MIL, @ MIN",97 - 106
66,19-20,67,2,2,31/10/2019 22:30,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,NOP,105.8,110.4,114.8,-4.5," vs. GSW, vs. DEN, @ OKC",DEN,99.6,102.4,99.5,+2.9," @ SAC, vs. DAL, @ NOP, @ ORL",122 - 107
67,19-20,68,2,2,31/10/2019 23:30,Staples Center,LA Clippers,San Antonio Spurs,LAC,102.8,122.1,114.2,+8.0," vs. CHA, @ UTA, vs. SAS, vs. UTA",SAS,104.5,116.7,111.5,+5.3," vs. POR, @ LAC, @ GSW, vs. LAL",103 - 97
68,19-20,69,2,2,01/11/2019 20:00,Barclays Center,Brooklyn Nets,Houston Rockets,BKN,107.5,108.1,106.9,+1.2," vs. IND, vs. HOU, @ DET",HOU,110.0,107.7,109.1,-1.4," vs. OKC, @ WAS, @ BKN, @ MIA",123 - 116
69,19-20,70,2,2,01/11/2019 20:00,Bankers Life Fieldhouse,Indiana Pacers,Cleveland Cavaliers,IND,101.0,103.5,113.4,-9.9," @ DET, @ BKN, vs. CLE, vs. CHI",CLE,100.5,97.0,96.0,+1.0," @ MIL, vs. CHI, @ IND, vs. DAL",102 - 95
70,19-20,71,2,2,01/11/2019 20:00,Amway Center,Orlando Magic,Milwaukee Bucks,ORL,101.8,95.1,92.2,+2.9," @ TOR, vs. NYK, vs. MIL, vs. DEN",MIL,110.0,104.7,104.8,-0.0," vs. CLE, @ BOS, @ ORL, vs. TOR",91 - 123
71,19-20,72,2,2,01/11/2019 20:30,TD Garden,Boston Celtics,New York Knicks,BOS,103.0,104.2,100.0,+4.2," vs. MIL, vs. NYK",NYK,107.0,98.1,109.3,-11.2," vs. CHI, @ ORL, @ BOS, vs. SAC",104 - 102
72,19-20,73,2,2,01/11/2019 21:00,United Center,Chicago Bulls,Detroit Pistons,CHI,105.5,100.9,106.0,-5.0," @ NYK, @ CLE, vs. DET, @ IND",DET,103.0,107.5,110.6,-3.1," vs. IND, @ TOR, @ CHI, vs. BKN",112 - 106
73,19-20,74,2,2,01/11/2019 22:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,DAL,105.2,110.8,107.0,+3.8," @ DEN, vs. LAL, @ CLE",LAL,98.0,107.5,102.0,+5.4," vs. MEM, @ DAL, @ SAS",110 - 119
74,19-20,75,2,2,01/11/2019 23:00,Golden 1 Center,Sacramento Kings,Utah Jazz,SAC,104.3,92.0,114.7,-22.7," vs. DEN, vs. CHA, vs. UTA, @ NYK",UTA,98.2,101.7,91.9,+9.8," @ PHX, vs. LAC, @ SAC, @ LAC",102 - 101
75,19-20,76,2,2,01/11/2019 23:30,Chase Center,Golden State Warriors,San Antonio Spurs,GSW,105.5,100.9,124.3,-23.3," @ NOP, vs. PHX, vs. SAS, vs. CHA",SAS,104.5,116.7,111.5,+5.3," vs. POR, @ LAC, @ GSW, vs. LAL",110 - 127
76,19-20,77,2,2,02/11/2019 18:00,Chesapeake Energy Arena,Oklahoma City Thunder,New Orleans Pelicans,OKC,103.0,97.4,93.2,+4.2," @ HOU, vs. POR, vs. NOP",NOP,105.8,110.4,114.8,-4.5," vs. GSW, vs. DEN, @ OKC",115 - 104
77,19-20,78,2,2,02/11/2019 20:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,DET,103.0,107.5,110.6,-3.1," vs. IND, @ TOR, @ CHI, vs. BKN",BKN,107.5,108.1,106.9,+1.2," vs. IND, vs. HOU, @ DET",113 - 109
78,19-20,79,2,2,02/11/2019 20:00,Amway Center,Orlando Magic,Denver Nuggets,ORL,101.8,95.1,92.2,+2.9," @ TOR, vs. NYK, vs. MIL, vs. DEN",DEN,99.6,102.4,99.5,+2.9," @ SAC, vs. DAL, @ NOP, @ ORL",87 - 91
79,19-20,80,2,2,02/11/2019 21:00,Capital One Arena,Washington Wizards,Minnesota Timberwolves,WAS,102.5,103.6,103.3,+0.3," vs. HOU, vs. MIN",MIN,105.5,111.0,102.1,+8.8," @ PHI, @ WAS",109 - 131
80,19-20,81,2,2,02/11/2019 21:00,FedExForum,Memphis Grizzlies,Phoenix Suns,MEM,108.6,100.0,107.7,-7.7," @ LAL, vs. PHX",PHX,103.6,112.1,101.2,+10.9," vs. UTA, @ GSW, @ MEM",105 - 114
81,19-20,82,2,2,02/11/2019 21:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,MIL,110.0,104.7,104.8,-0.0," vs. CLE, @ BOS, @ ORL, vs. TOR",TOR,104.4,105.8,98.5,+7.4," vs. ORL, vs. DET, @ MIL",115 - 105
82,19-20,83,2,2,02/11/2019 21:30,Chase Center,Golden State Warriors,Charlotte Hornets,GSW,105.5,100.9,124.3,-23.3," @ NOP, vs. PHX, vs. SAS, vs. CHA",CHA,104.0,104.5,117.3,-12.8," @ LAC, @ SAC, @ GSW",87 - 93
83,19-20,84,2,2,02/11/2019 23:00,Moda Center,Portland Trail Blazers,Philadelphia 76ers,POR,105.0,109.6,106.9,+2.6," @ SAS, @ OKC, vs. PHI",PHI,106.0,105.2,96.7,+8.5," @ ATL, vs. MIN, @ POR",128 - 129
84,19-20,85,2,2,03/11/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Chicago Bulls,IND,101.0,103.5,113.4,-9.9," @ DET, @ BKN, vs. CLE, vs. CHI",CHI,105.5,100.9,106.0,-5.0," @ NYK, @ CLE, vs. DET, @ IND",108 - 95
85,19-20,86,2,2,03/11/2019 20:00,American Airlines Arena,Miami Heat,Houston Rockets,MIA,109.5,105.9,100.9,+5.0," vs. ATL, @ ATL, vs. HOU",HOU,110.0,107.7,109.1,-1.4," vs. OKC, @ WAS, @ BKN, @ MIA",129 - 100
86,19-20,87,2,2,03/11/2019 20:00,Madison Square Garden,New York Knicks,Sacramento Kings,NYK,107.0,98.1,109.3,-11.2," vs. CHI, @ ORL, @ BOS, vs. SAC",SAC,104.3,92.0,114.7,-22.7," vs. DEN, vs. CHA, vs. UTA, @ NYK",92 - 113
87,19-20,88,2,2,03/11/2019 21:00,AT&T Center,San Antonio Spurs,Los Angeles Lakers,SAS,104.5,116.7,111.5,+5.3," vs. POR, @ LAC, @ GSW, vs. LAL",LAL,98.0,107.5,102.0,+5.4," vs. MEM, @ DAL, @ SAS",96 - 103
88,19-20,89,2,2,03/11/2019 21:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Dallas Mavericks,CLE,100.5,97.0,96.0,+1.0," @ MIL, vs. CHI, @ IND, vs. DAL",DAL,105.2,110.8,107.0,+3.8," @ DEN, vs. LAL, @ CLE",111 - 131
89,19-20,90,2,2,03/11/2019 23:00,Staples Center,LA Clippers,Utah Jazz,LAC,102.8,122.1,114.2,+8.0," vs. CHA, @ UTA, vs. SAS, vs. UTA",UTA,98.2,101.7,91.9,+9.8," @ PHX, vs. LAC, @ SAC, @ LAC",105 - 94
90,19-20,91,2,2,04/11/2019 21:00,Capital One Arena,Washington Wizards,Detroit Pistons,WAS,102.5,103.6,103.3,+0.3," vs. HOU, vs. MIN",DET,103.0,107.5,110.6,-3.1," vs. IND, @ TOR, @ CHI, vs. BKN",115 - 99
91,19-20,92,2,2,04/11/2019 21:30,Barclays Center,Brooklyn Nets,New Orleans Pelicans,BKN,107.5,108.1,106.9,+1.2," vs. IND, vs. HOU, @ DET",NOP,105.8,110.4,114.8,-4.5," vs. GSW, vs. DEN, @ OKC",135 - 125
92,19-20,93,2,2,04/11/2019 22:00,FedExForum,Memphis Grizzlies,Houston Rockets,MEM,108.6,100.0,107.7,-7.7," @ LAL, vs. PHX",HOU,110.0,107.7,109.1,-1.4," vs. OKC, @ WAS, @ BKN, @ MIA",100 - 107
93,19-20,94,2,2,04/11/2019 22:00,Target Center,Minnesota Timberwolves,Milwaukee Bucks,MIN,105.5,111.0,102.1,+8.8," @ PHI, @ WAS",MIL,110.0,104.7,104.8,-0.0," vs. CLE, @ BOS, @ ORL, vs. TOR",106 - 134
94,19-20,95,2,2,04/11/2019 23:00,Talking Stick Resort Arena,Phoenix Suns,Philadelphia 76ers,PHX,103.6,112.1,101.2,+10.9," vs. UTA, @ GSW, @ MEM",PHI,106.0,105.2,96.7,+8.5," @ ATL, vs. MIN, @ POR",114 - 109
95,19-20,96,2,2,05/11/2019 00:30,Chase Center,Golden State Warriors,Portland Trail Blazers,GSW,105.5,100.9,124.3,-23.3," @ NOP, vs. PHX, vs. SAS, vs. CHA",POR,105.0,109.6,106.9,+2.6," @ SAS, @ OKC, vs. PHI",127 - 118
96,19-20,97,2,2,05/11/2019 21:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,CHA,104.0,104.5,117.3,-12.8," @ LAC, @ SAC, @ GSW",IND,101.0,103.5,113.4,-9.9," @ DET, @ BKN, vs. CLE, vs. CHI",122 - 120
97,19-20,98,2,2,05/11/2019 21:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Boston Celtics,CLE,100.5,97.0,96.0,+1.0," @ MIL, vs. CHI, @ IND, vs. DAL",BOS,103.0,104.2,100.0,+4.2," vs. MIL, vs. NYK",113 - 119
98,19-20,99,2,2,05/11/2019 21:30,State Farm Arena,Atlanta Hawks,San Antonio Spurs,ATL,99.3,110.0,101.0,+9.0," vs. PHI, @ MIA, VS. MIA",SAS,104.5,116.7,111.5,+5.3," vs. POR, @ LAC, @ GSW, vs. LAL",108 - 100
99,19-20,100,2,2,05/11/2019 22:00,United Center,Chicago Bulls,Los Angeles Lakers,CHI,105.5,100.9,106.0,-5.0," @ NYK, @ CLE, vs. DET, @ IND",LAL,98.0,107.5,102.0,+5.4," vs. MEM, @ DAL, @ SAS",112 - 118
