,Season,Match Number,Round Number,Week,Date,Location,Home Team,Away Team,AB_HOME,Pace_HOME,OffRtg_HOME,DefRtg_HOME,NetRtg_HOME,GOW_HOME,AB_AWAY,Pace_AWAY,OffRtg_AWAY,DefRtg_AWAY,NetRtg_AWAY,GOW_AWAY,Result
643,18-19,676,14,14,24/03/2021 21:00,Amway Center,Orlando Magic,Phoenix Suns,ORL,99.1,105.2,111.9,-6.7," vs. DEN, vs. PHX, vs. POR, @ LAL",PHX,98.4,114.8,108.2,+6.5," @ MIA, @ ORL, @ TOR, @ CHA",112 - 111
644,18-19,677,14,14,24/03/2021 21:00,United Center,Chicago Bulls,Cleveland Cavaliers,CHI,101.3,111.2,111.4,-0.2," vs. UTA, vs. CLE, @ SAS",CLE,98.1,104.7,112.6,-7.8," vs. SAC, @ CHI, @ LAL, @ SAC",94 - 103
645,18-19,678,14,14,24/03/2021 21:00,Toyota Center,Houston Rockets,Charlotte Hornets,HOU,101.7,105.1,111.3,-6.2," vs. TOR, vs. CHA, @ MIN, @ MIN",CHA,100.8,110.8,112.2,-1.4," @ SAS, @ HOU, vs. MIA, vs. PHX",97 - 122
646,18-19,679,14,14,24/03/2021 21:00,Target Center,Minnesota Timberwolves,Dallas Mavericks,MIN,102.0,106.8,113.9,-7.1," vs. OKC, vs. DAL, vs. HOU, vs. HOU",DAL,98.3,113.8,112.6,+1.2," @ MIN, vs. IND, @ NOP",108 - 128
647,18-19,680,14,14,24/03/2021 21:00,Chesapeake Energy Arena,Oklahoma City Thunder,Memphis Grizzlies,OKC,100.4,104.9,111.1,-6.1," @ MIN, vs. MEM, vs. BOS",MEM,101.1,109.4,109.1,+0.3," vs. BOS, @ OKC, @ UTA, @ UTA",107 - 116
648,18-19,681,14,14,24/03/2021 21:30,AT&T Center,San Antonio Spurs,LA Clippers,SAS,100.0,109.8,109.6,+0.2," vs. CHA, vs. LAC, vs. LAC, vs. CHI",LAC,98.3,116.6,111.3,+5.2," vs. ATL, @ SAS, @ SAS, vs. PHI",101 - 134
649,18-19,682,14,14,24/03/2021 23:00,Vivint Arena,Utah Jazz,Brooklyn Nets,UTA,99.7,116.6,109.0,+7.6," @ CHI, vs. BKN, vs. MEM, vs. MEM",BKN,100.6,117.9,113.2,+4.6," @ POR, @ UTA, @ DET",118 - 88
650,18-19,683,14,14,24/03/2021 23:00,Golden 1 Center,Sacramento Kings,Atlanta Hawks,SAC,100.8,113.4,118.5,-5.1," @ CLE, vs. ATL, vs. GSW, vs. CLE",ATL,98.7,113.3,111.5,+1.8," @ LAC, @ SAC, @ GSW, @ DEN",110 - 108
651,18-19,684,14,14,25/03/2021 20:30,AmericanAirlines Arena,Miami Heat,Portland Trail Blazers,MIA,97.9,107.5,108.8,-1.4," vs. PHX, vs. POR, @ CHA",POR,98.7,115.8,116.7,-1.0," vs. BKN, @ MIA, @ ORL, @ TOR",122 - 125
652,18-19,685,14,14,25/03/2021 20:30,Madison Square Garden,New York Knicks,Washington Wizards,NYK,96.5,108.3,108.3,+0.0," vs. WAS, vs. WAS, @ MIL",WAS,104.9,109.4,114.0,-4.6," @ NYK, @ NYK, vs. DET",106 - 102
653,18-19,686,14,14,25/03/2021 21:30,AT&T Center,San Antonio Spurs,LA Clippers,SAS,100.0,109.8,109.6,+0.2," vs. CHA, vs. LAC, vs. LAC, vs. CHI",LAC,98.3,116.6,111.3,+5.2," vs. ATL, @ SAS, @ SAS, vs. PHI",85 - 98
654,18-19,687,14,14,25/03/2021 23:00,STAPLES Center,Los Angeles Lakers,Philadelphia 76ers,LAL,99.0,111.3,106.0,+5.3," @ NOP, vs. PHI, vs. CLE, vs. ORL",PHI,101.3,112.2,107.1,+5.1," @ GSW, @ LAL, @ LAC",101 - 109
655,18-19,688,14,14,25/03/2021 23:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,SAC,100.8,113.4,118.5,-5.1," @ CLE, vs. ATL, vs. GSW, vs. CLE",GSW,103.6,108.7,108.8,-0.2," vs. PHI, @ SAC, vs. ATL",141 - 119
656,18-19,689,14,14,26/03/2021 20:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,DET,97.8,108.0,111.5,-3.5," @ IND, vs. BKN, @ WAS",BKN,100.6,117.9,113.2,+4.6," @ POR, @ UTA, @ DET",111 - 113
657,18-19,690,14,14,26/03/2021 20:30,Amalie Arena,Toronto Raptors,Phoenix Suns,TOR,100.1,112.2,112.2,-0.1," @ HOU, vs. DEN, vs. PHX, vs. POR",PHX,98.4,114.8,108.2,+6.5," @ MIA, @ ORL, @ TOR, @ CHA",100 - 104
658,18-19,691,14,14,26/03/2021 20:30,Fiserv Forum,Milwaukee Bucks,Boston Celtics,MIL,102.5,116.5,109.3,+7.2," vs. IND, vs. BOS, vs. BOS, vs. NYK",BOS,98.6,112.9,112.1,+0.8," @ MEM, @ MIL, @ MIL, @ OKC",114 - 122
659,18-19,692,14,14,26/03/2021 21:00,Spectrum Center,Charlotte Hornets,Miami Heat,CHA,100.8,110.8,112.2,-1.4," @ SAS, @ HOU, vs. MIA, vs. PHX",MIA,97.9,107.5,108.8,-1.4," vs. PHX, vs. POR, @ CHA",110 - 105
660,18-19,693,14,14,26/03/2021 21:00,Amway Center,Orlando Magic,Portland Trail Blazers,ORL,99.1,105.2,111.9,-6.7," vs. DEN, vs. PHX, vs. POR, @ LAL",POR,98.7,115.8,116.7,-1.0," vs. BKN, @ MIA, @ ORL, @ TOR",105 - 112
661,18-19,694,14,14,26/03/2021 21:00,Target Center,Minnesota Timberwolves,Houston Rockets,MIN,102.0,106.8,113.9,-7.1," vs. OKC, vs. DAL, vs. HOU, vs. HOU",HOU,101.7,105.1,111.3,-6.2," vs. TOR, vs. CHA, @ MIN, @ MIN",107 - 101
662,18-19,695,14,14,26/03/2021 21:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,NOP,99.2,115.5,115.7,-0.2," vs. LAL, vs. DEN, vs. DAL",DEN,97.9,116.6,111.4,+5.2," @ ORL, @ TOR, @ NOP, vs. ATL",108 - 113
663,18-19,696,14,14,26/03/2021 21:30,American Airlines Center,Dallas Mavericks,Indiana Pacers,DAL,98.3,113.8,112.6,+1.2," @ MIN, vs. IND, @ NOP",IND,100.3,111.3,110.8,+0.5," @ MIL, vs. DET, @ DAL",94 - 109
664,18-19,697,14,14,26/03/2021 22:00,Vivint Arena,Utah Jazz,Memphis Grizzlies,UTA,99.7,116.6,109.0,+7.6," @ CHI, vs. BKN, vs. MEM, vs. MEM",MEM,101.1,109.4,109.1,+0.3," vs. BOS, @ OKC, @ UTA, @ UTA",117 - 114
665,18-19,698,14,14,26/03/2021 23:00,Chase Center,Golden State Warriors,Atlanta Hawks,GSW,103.6,108.7,108.8,-0.2," vs. PHI, @ SAC, vs. ATL",ATL,98.7,113.3,111.5,+1.8," @ LAC, @ SAC, @ GSW, @ DEN",108 - 124
666,18-19,699,14,14,26/03/2021 23:30,STAPLES Center,Los Angeles Lakers,Cleveland Cavaliers,LAL,99.0,111.3,106.0,+5.3," @ NOP, vs. PHI, vs. CLE, vs. ORL",CLE,98.1,104.7,112.6,-7.8," vs. SAC, @ CHI, @ LAL, @ SAC",100 - 86
667,18-19,700,14,14,27/03/2021 21:00,Capital One Arena,Washington Wizards,Detroit Pistons,WAS,104.9,109.4,114.0,-4.6," @ NYK, @ NYK, vs. DET",DET,97.8,108.0,111.5,-3.5," @ IND, vs. BKN, @ WAS",106 - 92
668,18-19,701,14,14,27/03/2021 21:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,MIL,102.5,116.5,109.3,+7.2," vs. IND, vs. BOS, vs. BOS, vs. NYK",NYK,96.5,108.3,108.3,+0.0," vs. WAS, vs. WAS, @ MIL",96 - 102
669,18-19,702,14,14,27/03/2021 21:00,Target Center,Minnesota Timberwolves,Houston Rockets,MIN,102.0,106.8,113.9,-7.1," vs. OKC, vs. DAL, vs. HOU, vs. HOU",HOU,101.7,105.1,111.3,-6.2," vs. TOR, vs. CHA, @ MIN, @ MIN",107 - 129
670,18-19,703,14,14,27/03/2021 21:30,AT&T Center,San Antonio Spurs,Chicago Bulls,SAS,100.0,109.8,109.6,+0.2," vs. CHA, vs. LAC, vs. LAC, vs. CHI",CHI,101.3,111.2,111.4,-0.2," vs. UTA, vs. CLE, @ SAS",120 - 104
671,18-19,704,14,14,27/03/2021 22:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,NOP,99.2,115.5,115.7,-0.2," vs. LAL, vs. DEN, vs. DAL",DAL,98.3,113.8,112.6,+1.2," @ MIN, vs. IND, @ NOP",112 - 103
672,18-19,705,14,14,27/03/2021 22:00,Chesapeake Energy Arena,Oklahoma City Thunder,Boston Celtics,OKC,100.4,104.9,111.1,-6.1," @ MIN, vs. MEM, vs. BOS",BOS,98.6,112.9,112.1,+0.8," @ MEM, @ MIL, @ MIL, @ OKC",94 - 111
673,18-19,706,14,14,27/03/2021 22:00,Vivint Arena,Utah Jazz,Memphis Grizzlies,UTA,99.7,116.6,109.0,+7.6," @ CHI, vs. BKN, vs. MEM, vs. MEM",MEM,101.1,109.4,109.1,+0.3," vs. BOS, @ OKC, @ UTA, @ UTA",126 - 110
674,18-19,707,14,14,27/03/2021 23:00,STAPLES Center,LA Clippers,Philadelphia 76ers,LAC,98.3,116.6,111.3,+5.2," vs. ATL, @ SAS, @ SAS, vs. PHI",PHI,101.3,112.2,107.1,+5.1," @ GSW, @ LAL, @ LAC",122 - 112
675,18-19,708,14,14,27/03/2021 23:00,Golden 1 Center,Sacramento Kings,Cleveland Cavaliers,SAC,100.8,113.4,118.5,-5.1," @ CLE, vs. ATL, vs. GSW, vs. CLE",CLE,98.1,104.7,112.6,-7.8," vs. SAC, @ CHI, @ LAL, @ SAC",100 - 98
676,18-19,709,14,14,28/03/2021 14:00,Spectrum Center,Charlotte Hornets,Phoenix Suns,CHA,100.8,110.8,112.2,-1.4," @ SAS, @ HOU, vs. MIA, vs. PHX",PHX,98.4,114.8,108.2,+6.5," @ MIA, @ ORL, @ TOR, @ CHA",97 - 101
677,18-19,710,14,14,28/03/2021 20:00,Amalie Arena,Toronto Raptors,Portland Trail Blazers,TOR,100.1,112.2,112.2,-0.1," @ HOU, vs. DEN, vs. PHX, vs. POR",POR,98.7,115.8,116.7,-1.0," vs. BKN, @ MIA, @ ORL, @ TOR",117 - 122
678,18-19,711,14,14,28/03/2021 22:00,Ball Arena,Denver Nuggets,Atlanta Hawks,DEN,97.9,116.6,111.4,+5.2," @ ORL, @ TOR, @ NOP, vs. ATL",ATL,98.7,113.3,111.5,+1.8," @ LAC, @ SAC, @ GSW, @ DEN",126 - 102
679,18-19,712,14,14,28/03/2021 23:00,STAPLES Center,Los Angeles Lakers,Orlando Magic,LAL,99.0,111.3,106.0,+5.3," @ NOP, vs. PHI, vs. CLE, vs. ORL",ORL,99.1,105.2,111.9,-6.7," vs. DEN, vs. PHX, vs. POR, @ LAL",96 - 93
680,18-19,713,14,14,29/03/2021 20:00,Capital One Arena,Washington Wizards,Indiana Pacers,WAS,104.9,109.4,114.0,-4.6," @ NYK, @ NYK, vs. DET",IND,100.3,111.3,110.8,+0.5," @ MIL, vs. DET, @ DAL",132 - 124
681,18-19,714,14,14,29/03/2021 20:30,TD Garden,Boston Celtics,New Orleans Pelicans,BOS,98.6,112.9,112.1,+0.8," @ MEM, @ MIL, @ MIL, @ OKC",NOP,99.2,115.5,115.7,-0.2," vs. LAL, vs. DEN, vs. DAL",109 - 115
682,18-19,715,14,14,29/03/2021 20:30,Barclays Center,Brooklyn Nets,Minnesota Timberwolves,BKN,100.6,117.9,113.2,+4.6," @ POR, @ UTA, @ DET",MIN,102.0,106.8,113.9,-7.1," vs. OKC, vs. DAL, vs. HOU, vs. HOU",112 - 107
683,18-19,716,14,14,29/03/2021 20:30,Madison Square Garden,New York Knicks,Miami Heat,NYK,96.5,108.3,108.3,+0.0," vs. WAS, vs. WAS, @ MIL",MIA,97.9,107.5,108.8,-1.4," vs. PHX, vs. POR, @ CHA",88 - 98
684,18-19,717,14,14,29/03/2021 21:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,DET,97.8,108.0,111.5,-3.5," @ IND, vs. BKN, @ WAS",TOR,100.1,112.2,112.2,-0.1," @ HOU, vs. DEN, vs. PHX, vs. POR",118 - 104
685,18-19,718,14,14,29/03/2021 21:00,Toyota Center,Houston Rockets,Memphis Grizzlies,HOU,101.7,105.1,111.3,-6.2," vs. TOR, vs. CHA, @ MIN, @ MIN",MEM,101.1,109.4,109.1,+0.3," vs. BOS, @ OKC, @ UTA, @ UTA",110 - 120
