Match Number,Round Number,Date,Location,Home Team,Away Team,Result
927,18,01/03/2022 21:30,TD Garden,Boston Celtics,Atlanta Hawks,107 - 98
928,18,01/03/2022 21:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,109 - 108
929,18,01/03/2022 22:00,Toyota Center,Houston Rockets,LA Clippers,100 - 113
930,18,01/03/2022 22:00,Target Center,Minnesota Timberwolves,Golden State Warriors,129 - 114
931,18,02/03/2022 00:00,Crypto.com Arena,Los Angeles Lakers,Dallas Mavericks,104 - 109
932,18,02/03/2022 21:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,98 - 119
933,18,02/03/2022 21:00,Amway Center,Orlando Magic,Indiana Pacers,114 - 122
934,18,02/03/2022 21:30,Wells Fargo Center,Philadelphia 76ers,New York Knicks,123 - 108
935,18,02/03/2022 22:00,Toyota Center,Houston Rockets,Utah Jazz,127 - 132
936,18,02/03/2022 22:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,120 - 119
937,18,02/03/2022 22:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,125 - 95
938,18,02/03/2022 23:00,Ball Arena,Denver Nuggets,Oklahoma City Thunder,107 - 119
939,18,03/03/2022 00:00,Footprint Center,Phoenix Suns,Portland Trail Blazers,120 - 90
710,19,03/03/2022 21:00,State Farm Arena,Atlanta Hawks,Chicago Bulls,130 - 124
940,19,03/03/2022 21:30,TD Garden,Boston Celtics,Memphis Grizzlies,120 - 107
941,19,03/03/2022 21:30,Barclays Center,Brooklyn Nets,Miami Heat,107 - 113
942,19,03/03/2022 21:30,Scotiabank Arena,Toronto Raptors,Detroit Pistons,106 - 108
943,19,03/03/2022 22:30,American Airlines Center,Dallas Mavericks,Golden State Warriors,122 - 113
944,19,03/03/2022 22:30,AT&T Center,San Antonio Spurs,Sacramento Kings,112 - 115
945,19,04/03/2022 00:00,Crypto.com Arena,LA Clippers,Los Angeles Lakers,132 - 111
946,19,04/03/2022 21:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,111 - 106
947,19,04/03/2022 21:00,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,125 - 119
948,19,04/03/2022 21:00,Capital One Arena,Washington Wizards,Atlanta Hawks,114 - 117
458,19,04/03/2022 21:30,Scotiabank Arena,Toronto Raptors,Orlando Magic,97 - 103
949,19,04/03/2022 21:30,United Center,Chicago Bulls,Milwaukee Bucks,112 - 118
950,19,04/03/2022 22:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,124 - 90
951,19,04/03/2022 22:00,Paycom Center,Oklahoma City Thunder,Minnesota Timberwolves,101 - 138
952,19,04/03/2022 23:00,Ball Arena,Denver Nuggets,Houston Rockets,116 - 101
953,19,05/03/2022 00:00,Footprint Center,Phoenix Suns,New York Knicks,115 - 114
954,19,05/03/2022 19:00,American Airlines Center,Dallas Mavericks,Sacramento Kings,114 - 113
955,19,05/03/2022 21:00,Spectrum Center,Charlotte Hornets,San Antonio Spurs,123 - 117
956,19,05/03/2022 22:00,FTX Arena,Miami Heat,Philadelphia 76ers,99 - 82
