Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1140,22,30/03/2022 20:30,Madison Square Garden,New York Knicks,Charlotte Hornets,114 - 125
1141,22,30/03/2022 20:30,Scotiabank Arena,Toronto Raptors,Minnesota Timberwolves,125 - 102
1142,22,30/03/2022 21:00,Toyota Center,Houston Rockets,Sacramento Kings,118 - 121
1143,22,30/03/2022 21:00,Paycom Center,Oklahoma City Thunder,Atlanta Hawks,118 - 136
1144,22,30/03/2022 21:30,AT&T Center,San Antonio Spurs,Memphis Grizzlies,111 - 112
1145,22,30/03/2022 23:00,Chase Center,Golden State Warriors,Phoenix Suns,103 - 107
1146,22,30/03/2022 23:00,Moda Center,Portland Trail Blazers,New Orleans Pelicans,107 - 117
1147,23,31/03/2022 20:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,102 - 94
452,23,31/03/2022 20:30,State Farm Arena,Atlanta Hawks,Cleveland Cavaliers,131 - 107
1148,23,31/03/2022 20:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,119 - 120
1149,23,31/03/2022 21:00,United Center,Chicago Bulls,LA Clippers,135 - 130
1150,23,31/03/2022 23:00,Vivint Arena,Utah Jazz,Los Angeles Lakers,122 - 109
1151,23,01/04/2022 20:00,Amway Center,Orlando Magic,Toronto Raptors,89 - 102
1152,23,01/04/2022 20:00,Capital One Arena,Washington Wizards,Dallas Mavericks,135 - 103
1153,23,01/04/2022 20:30,TD Garden,Boston Celtics,Indiana Pacers,128 - 123
1154,23,01/04/2022 21:00,Toyota Center,Houston Rockets,Sacramento Kings,117 - 122
1155,23,01/04/2022 21:00,FedExForum,Memphis Grizzlies,Phoenix Suns,122 - 114
1156,23,01/04/2022 21:00,Fiserv Forum,Milwaukee Bucks,LA Clippers,119 - 153
1157,23,01/04/2022 21:00,Paycom Center,Oklahoma City Thunder,Detroit Pistons,101 - 110
1158,23,01/04/2022 21:30,AT&T Center,San Antonio Spurs,Portland Trail Blazers,130 - 111
1159,23,01/04/2022 22:00,Ball Arena,Denver Nuggets,Minnesota Timberwolves,130 - 136
1160,23,01/04/2022 23:30,Crypto.com Arena,Los Angeles Lakers,New Orleans Pelicans,111 - 114
1161,23,02/04/2022 13:30,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,144 - 114
1162,23,02/04/2022 14:00,Madison Square Garden,New York Knicks,Cleveland Cavaliers,101 - 119
1163,23,02/04/2022 20:30,State Farm Arena,Atlanta Hawks,Brooklyn Nets,122 - 115
1164,23,02/04/2022 21:00,United Center,Chicago Bulls,Miami Heat,109 - 127
1165,23,02/04/2022 21:30,Chase Center,Golden State Warriors,Utah Jazz,111 - 107
1166,23,03/04/2022 14:00,TD Garden,Boston Celtics,Washington Wizards,144 - 102
1167,23,03/04/2022 14:00,Fiserv Forum,Milwaukee Bucks,Dallas Mavericks,112 - 118
1168,23,03/04/2022 16:30,Crypto.com Arena,Los Angeles Lakers,Denver Nuggets,118 - 129
1169,23,03/04/2022 18:00,Gainbridge Fieldhouse,Indiana Pacers,Detroit Pistons,117 - 121
1170,23,03/04/2022 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Philadelphia 76ers,108 - 112
1171,23,03/04/2022 19:00,Amway Center,Orlando Magic,New York Knicks,88 - 118
1172,23,03/04/2022 20:00,Scotiabank Arena,Toronto Raptors,Miami Heat,109 - 114
1173,23,03/04/2022 20:00,Toyota Center,Houston Rockets,Minnesota Timberwolves,132 - 139
1174,23,03/04/2022 20:00,Paycom Center,Oklahoma City Thunder,Phoenix Suns,117 - 96
1175,23,03/04/2022 20:00,AT&T Center,San Antonio Spurs,Portland Trail Blazers,113 - 92
1176,23,03/04/2022 22:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,90 - 109
1177,23,03/04/2022 22:30,Crypto.com Arena,LA Clippers,New Orleans Pelicans,119 - 100
1178,23,05/04/2022 20:00,Gainbridge Fieldhouse,Indiana Pacers,Philadelphia 76ers,122 - 131
1179,23,05/04/2022 20:00,Amway Center,Orlando Magic,Cleveland Cavaliers,120 - 115
1180,23,05/04/2022 20:30,Barclays Center,Brooklyn Nets,Houston Rockets,118 - 108
1181,23,05/04/2022 20:30,FTX Arena,Miami Heat,Charlotte Hornets,144 - 115
1182,23,05/04/2022 20:30,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,118 - 105
1183,23,05/04/2022 21:00,United Center,Chicago Bulls,Milwaukee Bucks,106 - 127
1184,23,05/04/2022 21:00,Target Center,Minnesota Timberwolves,Washington Wizards,114 - 132
1185,23,05/04/2022 21:00,Paycom Center,Oklahoma City Thunder,Portland Trail Blazers,98 - 94
1186,23,05/04/2022 22:00,Ball Arena,Denver Nuggets,San Antonio Spurs,97 - 116
1187,23,05/04/2022 22:00,Vivint Arena,Utah Jazz,Memphis Grizzlies,121 - 115
1188,23,05/04/2022 23:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,109 - 123
1189,23,05/04/2022 23:30,Footprint Center,Phoenix Suns,Los Angeles Lakers,121 - 110
1190,23,06/04/2022 20:00,Little Caesars Arena,Detroit Pistons,Dallas Mavericks,113 - 131
1191,23,06/04/2022 20:30,Madison Square Garden,New York Knicks,Brooklyn Nets,98 - 110
1192,23,06/04/2022 21:00,State Farm Arena,Atlanta Hawks,Washington Wizards,118 - 103
1193,23,06/04/2022 21:00,United Center,Chicago Bulls,Boston Celtics,94 - 117
1194,23,06/04/2022 22:00,Vivint Arena,Utah Jazz,Oklahoma City Thunder,137 - 101
1195,23,06/04/2022 23:00,Crypto.com Arena,LA Clippers,Phoenix Suns,113 - 109
1196,24,07/04/2022 20:00,Spectrum Center,Charlotte Hornets,Orlando Magic,128 - 101
1197,24,07/04/2022 20:30,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,119 - 114
1198,24,07/04/2022 20:30,Fiserv Forum,Milwaukee Bucks,Boston Celtics,127 - 121
1199,24,07/04/2022 21:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,127 - 121
1200,24,07/04/2022 21:00,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,127 - 94
1201,24,07/04/2022 22:00,Ball Arena,Denver Nuggets,Memphis Grizzlies,122 - 109
1202,24,07/04/2022 23:00,Chase Center,Golden State Warriors,Los Angeles Lakers,128 - 112
1203,24,08/04/2022 20:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,101 - 131
1204,24,08/04/2022 20:00,Capital One Arena,Washington Wizards,New York Knicks,92 - 114
1205,24,08/04/2022 20:30,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,118 - 107
1206,24,08/04/2022 20:30,Scotiabank Arena,Toronto Raptors,Houston Rockets,117 - 115
1207,24,08/04/2022 21:00,FTX Arena,Miami Heat,Atlanta Hawks,113 - 109
1208,24,08/04/2022 21:00,United Center,Chicago Bulls,Charlotte Hornets,117 - 133
1209,24,08/04/2022 21:30,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,128 - 78
1210,24,08/04/2022 22:30,Vivint Arena,Utah Jazz,Phoenix Suns,105 - 111
1211,24,08/04/2022 23:30,Crypto.com Arena,Los Angeles Lakers,Oklahoma City Thunder,120 - 101
1214,24,09/04/2022 14:00,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,133 - 120
1213,24,09/04/2022 19:00,FedExForum,Memphis Grizzlies,New Orleans Pelicans,141 - 114
1215,24,09/04/2022 21:30,AT&T Center,San Antonio Spurs,Golden State Warriors,94 - 100
1212,24,09/04/2022 22:30,Crypto.com Arena,LA Clippers,Sacramento Kings,117 - 98
1216,24,10/04/2022 16:30,Barclays Center,Brooklyn Nets,Indiana Pacers,134 - 126
1217,24,10/04/2022 16:30,Spectrum Center,Charlotte Hornets,Washington Wizards,124 - 108
1218,24,10/04/2022 16:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Milwaukee Bucks,133 - 115
1221,24,10/04/2022 16:30,Toyota Center,Houston Rockets,Atlanta Hawks,114 - 130
1223,24,10/04/2022 20:00,FedExForum,Memphis Grizzlies,Boston Celtics,110 - 139
1226,24,10/04/2022 20:00,Madison Square Garden,New York Knicks,Toronto Raptors,105 - 94
1227,24,10/04/2022 20:00,Amway Center,Orlando Magic,Miami Heat,125 - 111
1228,24,10/04/2022 20:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,118 - 106
1224,24,10/04/2022 21:30,Target Center,Minnesota Timberwolves,Chicago Bulls,120 - 124
1219,24,10/04/2022 22:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,130 - 120
1220,24,10/04/2022 22:30,Ball Arena,Denver Nuggets,Los Angeles Lakers,141 - 146
1222,24,10/04/2022 22:30,Crypto.com Arena,LA Clippers,Oklahoma City Thunder,138 - 88
1225,24,10/04/2022 22:30,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,107 - 128
1229,24,10/04/2022 22:30,Footprint Center,Phoenix Suns,Sacramento Kings,109 - 116
1230,24,10/04/2022 22:30,Moda Center,Portland Trail Blazers,Utah Jazz,80 - 111
